@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-2,6-11,14'

@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric

@data
1.09907,0.183723,-0.228919,GALAXY,-0.093256
1.125891,2.084432,2.260068,QSO,4.228475
0.078572,-0.603487,-0.672984,STAR,-0.367412
0.898521,0.894386,0.890456,GALAXY,-0.21698
0.900559,0.245645,-0.256996,GALAXY,-0.010145
0.832548,0.106931,-0.196859,GALAXY,-0.182247
1.032722,0.46129,-0.003106,GALAXY,-0.025281
0.135843,-0.481481,-0.694037,GALAXY,-0.261353
-1.815612,-1.472921,-1.264967,GALAXY,-0.264093
1.032964,0.782657,0.36183,GALAXY,0.021166
-0.278947,-0.24882,-0.238758,GALAXY,-0.16476
0.676143,0.261036,0.062332,GALAXY,-0.087714
-0.638264,-0.303728,-0.0633,STAR,-0.36841
0.852896,0.758732,0.598273,GALAXY,-0.1717
0.809717,0.940142,0.693719,GALAXY,0.055292
-4.12144,-3.246044,-2.617217,STAR,-0.36832
0.772505,0.134502,-0.157559,GALAXY,-0.181074
0.024714,-0.494225,-0.680027,GALAXY,-0.257481
0.26603,1.337632,1.48404,QSO,3.337428
0.148054,-0.526929,-0.916865,GALAXY,-0.113765
0.258134,0.36966,0.457012,STAR,-0.367158
0.852534,0.832474,0.814228,GALAXY,-0.245363
-0.022648,-0.240328,-0.379078,GALAXY,-0.227977
0.337235,0.627968,0.726315,GALAXY,-0.22197
0.992087,0.998886,1.348014,STAR,-0.367917
1.076251,0.853104,0.359335,GALAXY,-0.024279
1.110148,0.771168,0.410029,GALAXY,-0.065821
-0.73553,-0.31898,-0.12596,STAR,-0.370202
0.527525,0.491613,0.368158,GALAXY,-0.060975
-2.218444,-1.676757,-1.11493,STAR,-0.366266
0.796626,1.77584,1.55685,GALAXY,0.096638
0.886913,0.587941,0.479816,STAR,-0.368545
0.595608,0.6936,0.543908,GALAXY,0.024184
0.616872,0.171723,-0.125725,GALAXY,-0.13082
-0.498554,-0.504535,-0.546967,GALAXY,-0.170254
